DateTime,Lat,Lon,Base
"6/10/14 4:16",40.7699,-73.9589,"B02598"
"6/10/14 4:17",40.7376,-74.0086,"B02682"
"6/10/14 4:17",40.7449,-73.9924,"B02617"
"6/10/14 4:17",40.7596,-73.9855,"B02682"
"6/10/14 4:18",40.7028,-73.9827,"B02598"
"6/10/14 4:18",40.7056,-74.0093,"B02682"
"6/10/14 4:18",40.7335,-73.9898,"B02682"
"6/10/14 4:19",40.7254,-73.9931,"B02764"
"6/10/14 4:19",40.7326,-74.0089,"B02598"
"6/10/14 4:19",40.7435,-73.9728,"B02598"
"6/10/14 4:19",40.7454,-73.9846,"B02682"
"6/10/14 4:19",40.76,-73.9821,"B02598"
"6/10/14 4:19",40.7996,-73.9617,"B02598"
"6/10/14 4:20",40.7244,-73.9934,"B02512"
"6/10/14 4:20",40.7263,-74.0047,"B02598"
"6/10/14 4:21",40.6414,-73.9321,"B02598"
"6/10/14 4:21",40.7193,-73.9641,"B02598"
"6/10/14 4:21",40.7215,-74.032,"B02598"
"6/10/14 4:21",40.7248,-74.0634,"B02598"
"6/10/14 4:21",40.7318,-74.0013,"B02617"
"6/10/14 4:21",40.7446,-73.9808,"B02598"
"6/10/14 4:21",40.753,-74.0039,"B02512"
"6/10/14 4:21",40.7619,-73.9498,"B02617"
"6/10/14 4:22",40.7193,-73.9643,"B02682"
"6/10/14 4:22",40.7356,-74.0076,"B02598"
"6/10/14 4:22",40.7433,-73.9745,"B02598"
"6/10/14 4:22",40.7584,-73.9773,"B02617"
"6/10/14 4:22",40.7696,-73.9507,"B02598"
"6/10/14 4:23",40.6635,-73.8353,"B02617"
"6/10/14 4:23",40.6721,-73.9868,"B02598"
"6/10/14 4:23",40.7019,-73.9897,"B02598"
"6/10/14 4:23",40.7164,-73.9476,"B02617"
"6/10/14 4:24",40.7113,-74.0054,"B02682"
"6/10/14 4:24",40.7598,-73.9697,"B02617"
"6/10/14 4:24",40.7651,-73.8308,"B02617"
"6/10/14 4:25",40.6722,-73.9891,"B02598"
"6/10/14 4:25",40.6955,-74.179,"B02598"
"6/10/14 4:25",40.7287,-73.9857,"B02598"
"6/10/14 4:25",40.7347,-73.9864,"B02617"
"6/10/14 4:25",40.7748,-73.9585,"B02598"
"6/10/14 4:26",40.7142,-73.9869,"B02617"
"6/10/14 4:26",40.7149,-73.9404,"B02682"
"6/10/14 4:28",40.6457,-73.7766,"B02682"
"6/10/14 4:28",40.6902,-73.9916,"B02682"
"6/10/14 4:28",40.7636,-73.9775,"B02598"
"6/10/14 4:30",40.74,-73.9935,"B02512"
"6/10/14 4:30",40.7556,-73.9918,"B02682"
"6/10/14 4:30",40.762,-73.9826,"B02617"
"6/10/14 4:30",40.766,-73.9832,"B02682"
"6/10/14 4:30",40.7676,-73.9925,"B02617"
"6/10/14 4:31",40.6456,-73.7768,"B02682"
"6/10/14 4:31",40.7055,-73.9097,"B02682"
"6/10/14 4:31",40.7452,-73.9772,"B02598"
"6/10/14 4:31",40.7577,-73.9616,"B02682"
"6/10/14 4:31",40.7773,-73.9623,"B02682"
"6/10/14 4:32",40.6471,-73.789,"B02617"
"6/10/14 4:32",40.6674,-73.9606,"B02598"
"6/10/14 4:32",40.6851,-73.9979,"B02598"
"6/10/14 4:32",40.7262,-74.0017,"B02682"
"6/10/14 4:32",40.7345,-74.0008,"B02617"
"6/10/14 4:32",40.7422,-73.9552,"B02617"
"6/10/14 4:32",40.7709,-73.9882,"B02682"
"6/10/14 4:33",40.6461,-73.7768,"B02617"
"6/10/14 4:33",40.6952,-74.1786,"B02617"
"6/10/14 4:33",40.7265,-73.9988,"B02598"
"6/10/14 4:33",40.731,-73.9934,"B02598"
"6/10/14 4:33",40.7469,-73.9867,"B02598"
"6/10/14 4:33",40.7592,-73.9724,"B02598"
"6/10/14 4:33",40.7653,-73.9837,"B02682"
"6/10/14 4:33",40.7705,-73.982,"B02682"
"6/10/14 4:34",40.6465,-73.7898,"B02598"
"6/10/14 4:34",40.74,-73.9815,"B02598"
"6/10/14 4:34",40.745,-73.9858,"B02682"
"6/10/14 4:34",40.7452,-73.9718,"B02598"
"6/10/14 4:35",40.685,-73.9682,"B02682"
"6/10/14 4:35",40.7242,-73.9887,"B02598"
"6/10/14 4:35",40.7254,-73.9527,"B02682"
"6/10/14 4:35",40.7263,-73.984,"B02598"
"6/10/14 4:35",40.7299,-73.9895,"B02598"
"6/10/14 4:35",40.7301,-74.003,"B02598"
"6/10/14 4:35",40.7524,-73.9858,"B02617"
"6/10/14 4:35",40.7642,-73.981,"B02682"
"6/10/14 4:36",40.7218,-74.0098,"B02682"
"6/10/14 4:36",40.7365,-74.0017,"B02682"
"6/10/14 4:36",40.7461,-73.9963,"B02617"
"6/10/14 4:37",40.6165,-74.0337,"B02617"
"6/10/14 4:37",40.6695,-73.9834,"B02617"
"6/10/14 4:37",40.7257,-73.9998,"B02598"
"6/10/14 4:37",40.7319,-74.0037,"B02682"
"6/10/14 4:37",40.7339,-74.0096,"B02598"
"6/10/14 4:38",40.6738,-73.9727,"B02598"
"6/10/14 4:38",40.6769,-73.9919,"B02598"
"6/10/14 4:38",40.7213,-73.9943,"B02617"
"6/10/14 4:39",40.6457,-73.7766,"B02598"
"6/10/14 4:39",40.7177,-73.9839,"B02682"
"6/10/14 4:39",40.7203,-74.0119,"B02682"
"6/10/14 4:39",40.737,-73.9935,"B02598"
"6/10/14 4:39",40.7438,-73.9922,"B02682"
"6/10/14 4:39",40.7631,-73.9802,"B02682"
"6/10/14 4:39",40.7632,-73.994,"B02682"
"6/10/14 4:39",40.7701,-73.9609,"B02617"
"6/10/14 4:39",40.7901,-73.9741,"B02598"
"6/10/14 4:40",40.5955,-73.7439,"B02598"
"6/10/14 4:40",40.7256,-74.0056,"B02682"
"6/10/14 4:40",40.7465,-73.9974,"B02617"
"6/10/14 4:41",40.6862,-73.9891,"B02617"
"6/10/14 4:41",40.6883,-73.9678,"B02617"
"6/10/14 4:41",40.7655,-73.9613,"B02598"
"6/10/14 4:42",40.7441,-73.9877,"B02598"
"6/10/14 4:42",40.7617,-73.9776,"B02512"
"6/10/14 4:42",40.8,-73.9698,"B02682"
"6/10/14 4:43",40.6309,-74.0201,"B02598"
"6/10/14 4:43",40.7023,-73.9868,"B02598"
"6/10/14 4:43",40.7028,-74.0125,"B02617"
"6/10/14 4:43",40.7653,-73.9929,"B02682"
"6/10/14 4:44",40.7092,-74.0084,"B02682"
"6/10/14 4:44",40.7229,-74.001,"B02598"
"6/10/14 4:44",40.7506,-74.0033,"B02682"
"6/10/14 4:44",40.7699,-73.9585,"B02598"
"6/10/14 4:44",40.7704,-73.9833,"B02598"
"6/10/14 4:45",40.7057,-74.0099,"B02598"
"6/10/14 4:45",40.7141,-73.9615,"B02598"
"6/10/14 4:45",40.72,-73.9836,"B02598"
"6/10/14 4:45",40.9122,-73.9552,"B02682"
"6/10/14 4:46",40.6655,-73.9527,"B02682"
"6/10/14 4:46",40.688,-74.1808,"B02512"
"6/10/14 4:46",40.7579,-73.9892,"B02617"
